question_text,summary,example,constraints,leetcode_link,title,category,solution
"You are given two integer arrays `nums1` and `nums2`, sorted in non-decreasing order, and two integers `m` and `n`, representing the number of elements in `nums1` and `nums2` respectively. Merge `nums1` and `nums2` into a single array sorted in non-decreasing order, storing the result in `nums1`.",Merge two sorted arrays,"Input: nums1 = [1,2,3,0,0,0], m = 3, nums2 = [2,5,6], n = 3; Output: [1,2,2,3,5,6]","nums1.length == m + n, nums2.length == n, 0 <= m, n <= 200, 1 <= m + n <= 200, -10^9 <= nums1[i], nums2[j] <= 10^9",https://leetcode.com/problems/Merge-Sorted-Array/,Merge Sorted Array,Array and String,"['class Solution:\n    def merge(self, nums1: list[int], m: int, nums2: list[int], n: int) -> None:\n        """"""\n        Do not return anything, modify nums1 in-place instead.\n        """"""\n        # Time: O(m + n) - Space O(1)\n        # starting indices for nums1, nums2, and the end of merged array\n        i, j, k = m - 1, n - 1, m + n - 1\n\n        while i >= 0 and j >= 0:\n            if nums1[i] > nums2[j]:\n                # place the larger element (now nums1[i]) at the end of nums1\n                nums1[k] = nums1[i]\n                i -= 1\n            else:\n                # place the larger element (now nums2[j]) at the end of nums1\n                nums1[k] = nums2[j]\n                j -= 1\n            k -= 1\n\n        while j >= 0:\n            # place the remaining elements of nums2 from nums2 to nums1\n            nums1[k] = nums2[j]\n            j -= 1\n            k -= 1', '# Example usage\nnums1 = [1, 2, 3, 0, 0, 0]\nm = 3\nnums2 = [2, 5, 6]\nn = 3\n\nmerge = Solution().merge\n\nmerge(nums1, m, nums2, n)\nprint(nums1)  # Output should be [1,2,2,3,5,6]']"
"Given an integer array nums, find the subarray with the largest sum, and return its sum.",Find maximum subarray sum,"Input: nums = [-2,1,-3,4,-1,2,1,-5,4] Output: 6",1 <= nums.length <= 10^5; -10^4 <= nums[i] <= 10^4,https://leetcode.com/problems/Maximum-Subarray/,Maximum Subarray,Kadane’s Algorithm,"['class Solution:\n    def maxSubArray(self, nums: list[int]) -> int:\n        local_max = 0\n        global_max = -float(""inf"")\n\n        for num in nums:\n            local_max = max(num, num + local_max)\n            global_max = max(local_max, global_max)\n\n        return global_max', '# Test case\ns = Solution()\nnums = [-2, 1, -3, 4, -1, 2, 1, -5, 4]\nprint(s.maxSubArray(nums))  # Output: 6', ""def maxSubArray(nums):\n    def maxCrossingSum(nums, left, mid, right):\n        # Include at least one element from left half\n        sum_left = float('-inf')\n        current_sum = 0\n        for i in range(mid, left - 1, -1):\n            current_sum += nums[i]\n            if current_sum > sum_left:\n                sum_left = current_sum\n\n        # Include at least one element from right half\n        sum_right = float('-inf')\n        current_sum = 0\n        for i in range(mid + 1, right + 1):\n            current_sum += nums[i]\n            if current_sum > sum_right:\n                sum_right = current_sum\n\n        # Return sum of elements on left and right of mid\n        # as it's the maximum sum of subarray crossing mid\n        return sum_left + sum_right\n\n    def maxSubArrayRec(nums, left, right):\n        if left == right:  # Base case: only one element\n            return nums[left]\n\n        mid = (left + right) // 2\n        left_max = maxSubArrayRec(nums, left, mid)\n        right_max = maxSubArrayRec(nums, mid + 1, right)\n        cross_max = maxCrossingSum(nums, left, mid, right)\n\n        return max(left_max, right_max, cross_max)\n\n    return maxSubArrayRec(nums, 0, len(nums) - 1)\n\n\n# Example usage:\nnums = [-2, 1, -3, 4, -1, 2, 1, -5, 4]\nprint(maxSubArray(nums))  # Output: 6""]"
"Given a circular integer array `nums`, return the maximum possible sum of a non-empty subarray of `nums`.",Maximum sum circular subarray,"Input: nums = [1,-2,3,-2] Output: 3; Input: nums = [5,-3,5] Output: 10; Input: nums = [-3,-2,-3] Output: -2.",1 <= n <= 3 * 10^4; -3 * 10^4 <= nums[i] <= 3 * 10^4.,https://leetcode.com/problems/Maximum-Sum-Circular-Subarray/,Maximum Sum Circular Subarray,Kadane’s Algorithm,"[""class Solution:\n    def maxSubarraySumCircular(self, nums: list[int]) -> int:\n        def kadane(nums: list[int]) -> int:\n            max_sum = float('-inf')\n            current_sum = 0\n            for num in nums:\n                current_sum = max(num, current_sum + num)\n                max_sum = max(max_sum, current_sum)\n            return max_sum\n        \n        # step 1: find the max sum of non-circular subarray\n        max_kadane = kadane(nums)\n        \n        # step 2: find the total sum of the array and the min sum of non-circular subarray\n        total_sum = sum(nums)\n        \n        # invert the sign of each element in the array\n        nums_inverted = [-num for num in nums]\n        max_kadane_inverted = kadane(nums_inverted)\n        min_subarray_sum = -max_kadane_inverted\n        \n        # step 3: find the max sum of circular subarray\n        max_circular = total_sum - min_subarray_sum\n        \n        # step 4: handle the edge case\n        if max_circular == 0:\n            return max_kadane\n        \n        return max(max_kadane, max_circular)"", 's = Solution()\n\nprint(s.maxSubarraySumCircular([1, -2, 3, -2]))  # Output: 3\nprint(s.maxSubarraySumCircular([5, -3, 5]))      # Output: 10\nprint(s.maxSubarraySumCircular([-3, -2, -3]))    # Output: -2']"
"You are given two integer arrays nums1 and nums2, sorted in non-decreasing order, and two integers m and n. Merge nums1 and nums2 into a single array sorted in non-decreasing order, storing the result in nums1.",Merge two sorted arrays,"Input: nums1 = [1,2,3,0,0,0], m = 3, nums2 = [2,5,6], n = 3; Output: [1,2,2,3,5,6]","nums1.length == m + n, nums2.length == n, 0 <= m, n <= 200, 1 <= m + n <= 200, -10^9 <= nums1[i], nums2[j] <= 10^9",https://leetcode.com/problems/Merge-Sorted-Array/,Merge Sorted Array,Array and String,"['class Solution:\n    def merge(self, nums1: list[int], m: int, nums2: list[int], n: int) -> None:\n        """"""\n        Do not return anything, modify nums1 in-place instead.\n        """"""\n        # Time: O(m + n) - Space O(1)\n        # starting indices for nums1, nums2, and the end of merged array\n        i, j, k = m - 1, n - 1, m + n - 1\n\n        while i >= 0 and j >= 0:\n            if nums1[i] > nums2[j]:\n                # place the larger element (now nums1[i]) at the end of nums1\n                nums1[k] = nums1[i]\n                i -= 1\n            else:\n                # place the larger element (now nums2[j]) at the end of nums1\n                nums1[k] = nums2[j]\n                j -= 1\n            k -= 1\n\n        while j >= 0:\n            # place the remaining elements of nums2 from nums2 to nums1\n            nums1[k] = nums2[j]\n            j -= 1\n            k -= 1', '# Example usage\nnums1 = [1, 2, 3, 0, 0, 0]\nm = 3\nnums2 = [2, 5, 6]\nn = 3\n\nmerge = Solution().merge\n\nmerge(nums1, m, nums2, n)\nprint(nums1)  # Output should be [1,2,2,3,5,6]']"
Implement the `removeElement` function to remove all occurrences of a specific value (`val`) from an array (`nums`) and return the count of remaining elements.,Remove specific value from array,"Input: nums = [3, 2, 2, 3], val = 3; Output: 2, nums = [2, 2, _, _]",The function should operate in O(n) time and O(1) space.,https://leetcode.com/problems/Remove-Element/,Remove Element,Array and String,"['class Solution:\n    def removeElement(self, nums: list[int], val: int) -> int:\n        k = 0\n        for i in range(len(nums)):\n            if nums[i] != val:\n                nums[k] = nums[i]\n                k += 1\n        return k', '# Test the function with the provided examples\nremoveElement = Solution().removeElement\n\nexample1 = [3, 2, 2, 3]\nval1 = 3\noutput1 = removeElement(example1, val1)\n\nexample2 = [0, 1, 2, 2, 3, 0, 4, 2]\nval2 = 2\noutput2 = removeElement(example2, val2)\n\noutput1, example1, output2, example2']"
What is the time and space complexity of the removeDuplicates function?,Analyze removeDuplicates complexity,"Input: [1, 1, 2], Output: [1, 2]",Function modifies the array in place.,https://leetcode.com/problems/Remove-Duplicates-from-Sorted-Array/,Remove Duplicates from Sorted Array,Array and String,"['class Solution:\n    def removeDuplicates(self, nums: list[int]) -> int:\n        if not nums:\n            return 0\n\n        # initialize the unique element index\n        i = 0\n\n        for j in range(len(nums)):\n            # check if the current element is different from the one at the unique index\n            if nums[j] != nums[i]:\n                # move the unique index forward and update its value\n                i += 1\n                nums[i] = nums[j]\n\n        # return the number of unique elements\n        return i + 1', '# Testing the function with the provided examples\n\nremoveDuplicates = Solution().removeDuplicates\n\nnums1 = [1, 1, 2]\nresult1 = removeDuplicates(nums1)\n\nnums2 = [0, 0, 1, 1, 1, 2, 2, 3, 3, 4]\nresult2 = removeDuplicates(nums2)\n\nresult1, nums1, result2, nums2']"
"Given a sorted integer array, remove duplicates in-place such that each unique element appears at most twice and return the new length.",Remove duplicates from array,"Input: nums = [1,1,1,2,2,3], Output: 5, nums = [1,1,2,2,3,_]",1 <= nums.length <= 3 * 10^4; -10^4 <= nums[i] <= 10^4; nums is sorted in non-decreasing order.,https://leetcode.com/problems/Remove-Duplicates-from-Sorted-Array-II/,Remove Duplicates from Sorted Array II,Array and String,"['class Solution:\n    # O(n) time complexity: one pass through nums\n    # O(1) space complexity: only two pointers used\n    def removeDuplicates(self, nums: list[int]) -> int:\n        # init two pointers. i is the slow-runner, j is the fast-runner\n        i = 0\n\n        for j in range(len(nums)):\n            # check if the current value is equal to the value at i - 2 (to allow max 2 duplicates)\n            if i < 2 or nums[j] != nums[i - 2]:\n                nums[i] = nums[j]\n                i += 1\n\n        return i', '# Test the function with the provided examples\n\nremoveDuplicates = Solution().removeDuplicates\n\ntest1 = [1, 1, 1, 2, 2, 3]\ntest2 = [0, 0, 1, 1, 1, 1, 2, 3, 3]\n\nk1 = removeDuplicates(test1)\nk2 = removeDuplicates(test2)\n\n(k1, test1[:k1]), (k2, test2[:k2])']"
"Given an array `nums` of size `n`, return the majority element that appears more than `⌊n / 2⌋` times. Assume that the majority element always exists in the array.",Find majority element,"Input: nums = [3,2,3] Output: 3; Input: nums = [2,2,1,1,1,2,2] Output: 2","n == nums.length, 1 <= n <= 5 * 10^4, -10^9 <= nums[i] <= 10^9",https://leetcode.com/problems/Majority-Element/,Majority Element,Array and String,"['class Solution:\n    def majorityElement(self, nums: list[int]) -> int:\n        # Boyer-Moore Voting Algorithm\n        count = 0\n        candidate = None\n\n        for num in nums:\n            if count == 0:\n                candidate = num\n            count += 1 if num == candidate else -1\n\n        return candidate', '# Testing the function with the provided examples\nmajorityElement = Solution().majorityElement\n\nexample1 = [3, 2, 3]\nexample2 = [2, 2, 1, 1, 1, 2, 2]\n\noutput1 = majorityElement(example1)\noutput2 = majorityElement(example2)\n\noutput1, output2']"
"Given an integer array nums, rotate the array to the right by k steps, where k is non-negative.",Rotate array to the right,"Input: nums = [1,2,3,4,5,6,7], k = 3; Output: [5,6,7,1,2,3,4]",1 <= nums.length <= 105; -231 <= nums[i] <= 231 - 1; 0 <= k <= 105,https://leetcode.com/problems/Rotate-Array/,Rotate Array,Array and String,"['class Solution:\n    def rotate(self, nums: list[int], k: int) -> None:\n        # time complexity: O(n), space complexity: O(n)\n        """"""\n        Do not return anything, modify nums in-place instead.\n        """"""\n        """"""\n        Rotate the elements of the array to the right by k steps.\n\n        :param nums: List[int] - the array to rotate\n        :param k: int - number of steps to rotate the array\n        :return: List[int] - the rotated array\n        """"""\n        # If k is greater than the length of the array, rotating the array k times would effectively be the same as rotating it k % len(nums)\n        k = k % len(nums)\n        # Rotate the array by reversing parts of the array; nums[-k:] get the last k elements, nums[:-k] get all the elements except the last k elements\n        nums[:] = nums[-k:] + nums[:-k]\n        return nums\n\n    def rotate_in_place(self, nums: list[int], k: int) -> None:\n        # time complexity: O(n), space complexity: O(1)\n        def reverse(sub_nums: list[int], start: int, end: int) -> None:\n            while start < end:\n                sub_nums[start], sub_nums[end] = sub_nums[end], sub_nums[start]\n                start += 1\n                end -= 1\n\n        n = len(nums)\n        k = k % n  # effective rotation\n\n        # reverse the whole array\n        reverse(nums, 0, n - 1)\n        # reverse the first k elements\n        reverse(nums, 0, k - 1)\n        # reverse the last n-k elements\n        reverse(nums, k, n - 1)\n\n        return nums', '# Test the function with the provided examples\n\nrotate = Solution().rotate\nrotate_in_place = Solution().rotate_in_place\n\nexample1 = rotate([1, 2, 3, 4, 5, 6, 7], 3)\nexample2 = rotate([-1, -100, 3, 99], 2)\n\nprint(example1, example2)\n\ninstance1 = rotate_in_place([1, 2, 3, 4, 5, 6, 7], 3)\ninstance2 = rotate_in_place([-1, -100, 3, 99], 2)\n\nprint(instance1, instance2)']"
"Given an array of stock prices, determine the maximum profit from a single buy-sell transaction.",Maximize stock trading profit,"Input: prices = [7,1,5,3,6,4], Output: 5; Input: prices = [7,6,4,3,1], Output: 0",1 <= prices.length <= 105; 0 <= prices[i] <= 104,https://leetcode.com/problems/Best-Time-to-Buy-and-Sell-Stock/,Best Time to Buy and Sell Stock,Array and String,"['class Solution:\n    # Time: O(n), Space: O(1)\n    def maxProfit(self, prices: list[int]) -> int:\n        if not prices:\n            return 0\n        \n        min_price = prices[0]\n        max_profit = 0\n        \n        for price in prices:\n            # update min_price found so far\n            if price < min_price:\n                min_price = price\n            else:\n                # calculat profit if sold at the current price\n                profit = price - min_price\n                # update max_profit found so far\n                max_profit = max(max_profit, profit)\n        \n        return max_profit\n            ', '# Testing the function with the same examples\nexample1 = [7, 1, 5, 3, 6, 4]\nexample2 = [7, 6, 4, 3, 1]\n\nmaxProfit = Solution().maxProfit\n\noutput1_simple = maxProfit(example1)\noutput2_simple = maxProfit(example2)\n\noutput1_simple, output2_simple']"
"Given an integer array `prices`, find the maximum profit from buying and selling stock on different days, with the option to buy and sell on the same day.",Maximize stock profit,"Input: prices = [7,1,5,3,6,4] Output: 7",1 <= prices.length <= 3 * 10^4; 0 <= prices[i] <= 10^4,https://leetcode.com/problems/Best-Time-to-Buy-and-Sell-Stock-II/,Best Time to Buy and Sell Stock II,Array and String,"['class Solution:\n    # solve with O(n) time complexity and O(1) space complexity\n    def maxProfit(self, prices: list[int]) -> int:\n        # init profit to 0\n        profit = 0\n\n        # iterate through the list of prices\n        for i in range(1, len(prices)):\n            # if the price on the current day is higher than the previous day\n            if prices[i] > prices[i - 1]:\n                # add the difference to the profit\n                profit += prices[i] - prices[i - 1]\n\n        # return the profit\n        return profit', 'maxProfit = Solution().maxProfit\n\nprint(maxProfit([7, 1, 5, 3, 6, 4]))  # 7\nprint(maxProfit([1, 2, 3, 4, 5]))  # 4\nprint(maxProfit([7, 6, 4, 3, 1]))  # 0']"
"Given an integer array nums, determine if you can reach the last index starting from the first index, where each element represents the maximum jump length at that position.",Jump Game Problem,"Input: nums = [2,3,1,1,4] Output: true; Input: nums = [3,2,1,0,4] Output: false",1 <= nums.length <= 104; 0 <= nums[i] <= 105,https://leetcode.com/problems/Jump-Game/,Jump Game,Array and String,"[""class Solution:\n    # Greedy Algorithm: at each step, jump as far as possible\n    # Time: O(n), Space: O(1)\n    def canJump(self, nums: list[int]) -> bool:\n        max_reach = 0\n        for i in range(len(nums)):\n            # if we can't reach this index, we are stuck\n            if i > max_reach:\n                return False\n            # update max_reach with the current max_reach and the farthest we can jump from this index (i + num[i])\n            max_reach = max(max_reach, i + nums[i])\n        # check if max_reach is at least the last index of the array\n        return max_reach >= len(nums) - 1"", '# Test cases\ntest_case1 = [2, 3, 1, 1, 4]\ntest_case2 = [3, 2, 1, 0, 4]\n\n# Test\ncanJump = Solution().canJump\n\nprint(canJump(test_case1))\nprint(canJump(test_case2))']"
